x,y,,,,,left_frame_x,left_frame_y,right_frame_x,right_frame_y
1586.69,1179.22,269.307,441.747,171.217,112.007,2297.75,895.993,2125.31,895.993
1586.55,1179.33,269.45,441.982,171.326,112.079,2297.98,895.921,2125.45,895.921
1586.29,1179.55,269.705,442.4,171.551,112.226,2298.4,895.774,2125.71,895.774
1586.33,1179.91,269.672,442.345,171.913,112.462,2298.34,895.538,2125.67,895.538
1586.1,1180.1,269.903,442.724,172.097,112.582,2298.72,895.418,2125.9,895.418
1586.07,1184.86,269.929,442.767,176.864,115.701,2298.77,892.299,2125.93,892.299
1586.26,1184.98,269.743,442.461,176.977,115.775,2298.46,892.225,2125.74,892.225
1586.13,1185.06,269.868,442.666,177.059,115.829,2298.67,892.171,2125.87,892.171
1586.22,1185.21,269.775,442.514,177.211,115.928,2298.51,892.072,2125.78,892.072
1586.31,1185.12,269.691,442.376,177.122,115.87,2298.38,892.13,2125.69,892.13
1586.25,1185.29,269.749,442.471,177.286,115.977,2298.47,892.023,2125.75,892.023
1586.23,1185.28,269.767,442.501,177.281,115.974,2298.5,892.026,2125.77,892.026
1583.02,1185.39,272.985,447.779,177.389,116.045,2303.78,891.955,2128.98,891.955
1582.78,1185.56,273.22,448.165,177.556,116.154,2304.17,891.846,2129.22,891.846
1582.59,1185.61,273.411,448.478,177.614,116.192,2304.48,891.808,2129.41,891.808
1582.35,1185.66,273.648,448.867,177.664,116.225,2304.87,891.775,2129.65,891.775
1582.1,1185.87,273.898,449.277,177.869,116.359,2305.28,891.641,2129.9,891.641
1581.83,1185.93,274.172,449.726,177.932,116.4,2305.73,891.6,2130.17,891.6
1581.28,1186.01,274.719,450.624,178.013,116.453,2306.62,891.547,2130.72,891.547
1586.66,1185.8,269.341,441.803,177.8,116.313,2297.8,891.687,2125.34,891.687
1586.59,1185.89,269.411,441.918,177.893,116.375,2297.92,891.625,2125.41,891.625
1586.33,1185.88,269.669,442.341,177.882,116.367,2298.34,891.633,2125.67,891.633
1585.98,1185.76,270.023,442.921,177.759,116.287,2298.92,891.713,2126.02,891.713
1586.29,1185.73,269.711,442.408,177.733,116.269,2298.41,891.731,2125.71,891.731
1586.07,1185.88,269.935,442.776,177.879,116.365,2298.78,891.635,2125.93,891.635
1586.17,1185.83,269.832,442.607,177.83,116.333,2298.61,891.667,2125.83,891.667
1586.39,1185.76,269.612,442.247,177.761,116.288,2298.25,891.712,2125.61,891.712
1584.61,1184.51,271.39,445.162,176.509,115.469,2301.16,892.531,2127.39,892.531
1584.8,1184.44,271.198,444.848,176.438,115.423,2300.85,892.577,2127.2,892.577
1584.98,1184.38,271.015,444.548,176.379,115.384,2300.55,892.616,2127.02,892.616
1585.33,1184.3,270.674,443.989,176.298,115.331,2299.99,892.669,2126.67,892.669
1585.68,1184.53,270.321,443.41,176.528,115.482,2299.41,892.518,2126.32,892.518
1585.79,1184.68,270.207,443.222,176.683,115.583,2299.22,892.417,2126.21,892.417
1586.09,1184.67,269.912,442.739,176.668,115.573,2298.74,892.427,2125.91,892.427
1586.74,1181.13,269.259,441.668,173.128,113.257,2297.67,894.743,2125.26,894.743
1587.04,1181.44,268.957,441.172,173.442,113.463,2297.17,894.537,2124.96,894.537
1587.35,1182.12,268.646,440.662,174.119,113.906,2296.66,894.094,2124.65,894.094
1587.24,1182.42,268.755,440.841,174.423,114.104,2296.84,893.896,2124.76,893.896
1587.3,1182.6,268.695,440.743,174.602,114.221,2296.74,893.779,2124.7,893.779
1587.28,1182.96,268.717,440.778,174.964,114.458,2296.78,893.542,2124.72,893.542
1586.61,1183,269.389,441.88,174.998,114.481,2297.88,893.519,2125.39,893.519
1585.01,1180.02,270.994,444.514,172.023,112.535,2300.51,895.465,2126.99,895.465
1584.57,1180.22,271.426,445.222,172.223,112.665,2301.22,895.335,2127.43,895.335
1584.68,1180.38,271.317,445.043,172.382,112.769,2301.04,895.231,2127.32,895.231
